,Unnamed: 0,Hestekræfter,Brændstoftype,Biltype,Gearkasse,Årgang,Kilometer,Model,Pris,Link,Sidst synet,Farve,Registreringsdato,Antal døre,Antal gear,Cylindre,Trækhjul,Max påhæng,Tank,Km/l,0 - 100 km/t,Tophastighed,Vægt,Lasteevne,Airbags,Grøn Ejerafgift,Nypris,Nummerplade,Make
13308,13308,,Diesel,,Manuel,2020,17,"Vivaro L2V2 2,0 D Enjoy 122HK Van 6g",179900,/opelvivarol2v220denjoy122hkvan6g/id856281,,diamond,,,,,,,,"20,4",,,,,,,,,Opel
13309,13309,190,Diesel,Stationcar,Automatisk,2014,172000,"520d 2,0 Touring xDrive aut.",249900,/bmw520d20touringxdriveaut/id856485,,,19092014,5,8,4,4x4,2000,70,"19,6","8,2",220,1815,645,6,4680,780103,,BMW
13310,13310,,Diesel,,,2020,2000,"Vivaro L2V2 2,0 D Enjoy AT8 177HK Van 8g Aut.",211961,/opelvivarol2v220denjoyat8177hkvan8gaut/id856278,,jade,,,,,,,,"19,6",,,,,,,,,Opel
13311,13311,80,Diesel,Stationcar,Manuel,2007,268000,"Fabia 1,4 TDI Combi, 80HK Stc",17900,/skodafabia14tdicombi80hkstc/id856279,31052019,,01052007,5,,3,,,,,,,,,,,,,Skoda
13312,13312,65,Benzin,Hatchback,,2005,272000,"Grande Punto 1,2 Dynamic 65HK 5d",16900,/fiatgrandepunto12dynamic65hk5d/id856275,06102020,,01122005,5,5,4,,900,,,,155,,,,,,,Fiat
13313,13313,141,Benzin,Hatchback,Automatisk,2020,1000,"Niro 1,6 PHEV Advance DCT",319900,/kianiro16phevadvancedct/id856473,,Gråmetal,01122020,5,6,4,Forhjul,1300,45,"44,2","10,8",172,1480,520,6,780,274920,,Kia
13314,13314,136,Diesel,Sedan,Manuel,2013,149000,"i40 1,7 CRDi 136 Style",98900,/hyundaii4017crdi136style/id856370,,Koksmetal,18032013,4,6,4,Forhjul,1800,70,"22,2","10,6",201,1457,623,9,3880,354998,,Hyundai
13315,13315,110,Benzin,Stationcar,,2016,159000,"Fabia 1,2 TSi 110 Style Combi",99500,/skodafabia12tsi110stylecombi/id856265,22112019,hvid,01122015,5,6,4,Forhjul,1100,,"20,8",10,199,1053,,,660,,,Skoda
13316,13316,108,Diesel,SUV,Automatisk,2010,183000,"Grand C4 Picasso 1,6 5",49500,/citroengrandc4picasso165/id828427,18052020,,,,,,,,,,,,,,,,,CS,Citroën
13317,13317,122,Benzin,MPV,Automatisk,2016,61000,"B180 1,6 Urban aut.",239900,/mercedesb18016urbanaut/id860994,,Gråmetal,15072016,5,7,4,Forhjul,1200,50,"18,2","9,1",200,1425,535,7,1280,,,Mercedes
