Årgang,Farve,Vægt,Tophastighed,Sidst synet,Trækhjul,Kilometer,Nypris,Cylindre,Tank,0 - 100 km/t,Airbags,Grøn Ejerafgift,Lasteevne,Model,Gearkasse,Nummerplade,Hestekræfter,Biltype,Max. påhæng,Pris,Registreringsdato,Antal døre,Km/l,Brændstoftype,Antal gear
2018,,,,13-06-2019,,45.000,,,,,,,,"Volvo XC40 2,0 R Design Aut. AWD",Automatisk,,200,SUV,,499.000,,,,Diesel,
2007,,1.291,188,,Forhjul,220.000,231.398,4,53,"11,5",6,4.880,529,"Kia Ceed 1,6 CRDi Exclusive",Manuel,,115,Hatchback,1.400,25.900,21-11-2007,5,"21,3",Diesel,5
2020,,1.135,130,,Forhjul,12.000,158.915,,,"11,9",6,660,395,VW E-UP!,Automatisk,,83,Hatchback,,176.900,27-02-2020,5,"76,1",El,1
2017,,,,12-09-2019,,70.000,,,,,,,,"VW Polo 1,4 GT",Automatisk,,150,Hatchback,,179.900,,,,Benzin,
2019,Sortmetal,1.615,150,,Forhjul,42.000,312.515,,,"9,6",7,660,405,VW e-Golf VII,Automatisk,,136,Hatchback,,204.900,04-12-2018,5,"71,9",El,1
2014,,,,01-05-2019,,105.000,,,,,,,,Tesla Model S P85,Automatisk,,422,,,290.000,,,,,
2003,,,,,,195.000,,4,,,,4.360,,"Volvo V40 1,8 122HK Stc",,,122,,,9.900,21-10-2002,5,"12,8",Benzin,
2013,sort,,,,,158.000,,4,,,,2.520,,"Skoda Yeti 1,2 TSI Adventure 105HK",,,105,,,109.900,22-08-2013,5,"15,6",Benzin,
2014,,,,,,105.000,,4,,,,660,,"Skoda Rapid 1,2 TSI Ambition Tivoli 86HK 5d",,,86,,,89.900,14-07-2014,5,"20,4",Benzin,
2009,lyseblå,,,,,90.000,,4,,,,2.520,,"Skoda Octavia 1,4 Combi 1,4 TSI Elegance DSG 122HK Stc 7g Aut.",,,122,,,89.900,24-04-2009,5,"15,9",Benzin,
2007,,,,,,129.000,,3,,,,1.880,,"Skoda Fabia 1,2 Classic 54HK 5d",,,54,,,17.900,16-11-2006,5,"16,9",Benzin,
2016,,,,,,24.000,,4,,,,660,,"Skoda Fabia 1,2 TSI Style 90HK 5d",,,90,,,109.900,12-10-2015,5,"21,3",Benzin,
2020,blå,,,,,11.000,,4,,,,,,"Kia Niro 1,6 GDI PHEV Comfort DCT 141HK 5d 6g Aut.",,,141,,,254.900,28-02-2020,5,"44,2",,
2020,perlemorhvid,,,,,15.000,,4,,,,,,"Kia Niro 1,6 GDI PHEV Advance Plus DCT 141HK 5d 6g Aut.",,,141,,,269.900,28-02-2020,5,"44,2",,
2020,sølv,,,,,9.000,,4,,,,,,"Kia Niro 1,6 GDI PHEV Advance Plus DCT 141HK 5d 6g Aut.",,,141,,,269.900,28-02-2020,5,"44,2",,
2018,,,,,,28.000,,4,,,,2.380,,"Dacia Duster 1,3 Tce Prestige 150HK 5d 6g",,,150,,,184.900,03-07-2019,5,18,Benzin,
2020,onyx,,,,,7.000,,,,,,,,Volvo V60 B4 R-design 197HK Stc 8g Aut.,,,,,,459.900,,,"17,7",Hybrid,
2010,champagne,930,155,19-11-2019,Forhjul,55.000,,3,,14,,660,,"Nissan Pixo 1,0 Acenta",,,68,Hatchback,200,36.900,01-01-2010,5,"22,7",Benzin,5
1999,sort,,,10-02-2017,Forhjul,249.000,,,,,,6.820,,"Volvo C70 2,5 T Cabriolet",Manuel,,,Cabriolet,,119.800,01-07-1999,2,"10,2",Benzin,
2014,hvid,,,,,129.000,,4,,,,8.940,,"Citroën Jumper 30 2,2 L2H1 2,2 HDi FAP 130HK Van 6g",,,130,,,84.900,16-10-2014,4,"13,5",Diesel,
2013,lilla,905,160,17-06-2019,Forhjul,106.000,,3,,14,,660,,"Peugeot 107 1,0 Active",,,68,Hatchback,,29.900,01-08-2013,5,"23,3",Benzin,5
2006,Sølvmetal,996,172,,Forhjul,189.000,210.377,4,45,"12,9",6,2.520,584,"VW Polo 1,4 75 Fresh",Manuel,,75,Hatchback,1.000,24.900,14-06-2006,5,"15,5",Benzin,5
2018,Mørkblåmetal,1.413,220,,Forhjul,39.000,,4,66,"8,4",6,1.780,557,"VW Passat 1,4 TSi 150 Highline Premium DSG",Automatisk,,150,Sedan,1.900,284.895,20-03-2018,4,"19,6",Benzin,7
2011,,,,19-06-2019,,297.000,,,,,,,,"Volvo V60 2,0 D3 Summum",Manuel,,161,Stationcar,,92.000,,,,Diesel,
2011,Sølvmetal,1.503,195,,Forhjul,299.000,338.500,4,60,,6,5.540,667,"Renault Grand Scenic III 1,9 dCi 130 Dynamique 7prs",Manuel,,130,MPV,1.300,48.800,28-02-2011,5,"17,9",Diesel,6
2008,Sort,775,157,,Forhjul,219.000,119.336,3,35,"13,7",6,660,425,Citroën C1 Prestige,Manuel,,68,Hatchback,,23.800,26-09-2008,5,"21,7",Benzin,5
2015,,880,157,,Forhjul,52.000,124.994,3,35,14,6,660,360,"Toyota Aygo 1,0 VVT-i x-change",Manuel,,69,Hatchback,,62.990,13-03-2015,5,"26,3",Benzin,5
1977,,,,15-10-2019,,88.888,,,,,,,,"Morgan Plus 8 3,5 V8",Manuel,,150,Cabriolet,,309.900,,,,Benzin,
2008,Rød,1.100,173,,Forhjul,119.000,,4,45,"12,1",4,4.880,500,"Hyundai Getz 1,5 CRDi 88",Manuel,,88,Hatchback,1.100,28.800,10-06-2008,5,"21,7",Diesel,5
2015,Sortmetal,1.495,210,,Forhjul,127.000,369.608,4,62,"9,3",6,3.020,495,"Mazda 6 2,2 Sky-D 150 Vision stc.",Manuel,,150,Stationcar,1.600,159.900,29-09-2015,5,"23,8",Diesel,6
2012,,,,11-07-2019,,29.000,,,,,,,,"BMW 328i 2,0 4-d Aut X-drive 4X4",Automatisk,,241,Sedan,,309.900,,,,Benzin,
2014,,1.650,182,,4x4,143.000,535.370,4,61,"9,6",7,6.380,700,"Land Rover Range Rover evoque 2,2 TD4 Dynamic aut. Van",Automatisk,,150,Varevogn,1.800,225.000,25-03-2014,5,"16,7",Diesel,9
2018,Hvidmetal,1.090,200,,Forhjul,41.000,217.996,3,40,"9,5",6,1.160,570,"VW Polo 1,0 TSi 115 Highline DSG",Automatisk,,115,Hatchback,1.000,199.900,28-12-2017,5,"21,3",Benzin,7
1956,,,,27-07-2011,,106.000,,,,,,,,"Fiat 130 1,1 4-dørs",Manuel,,36,Sedan,,85.000,,,,Benzin,
2012,,1.485,200,,Forhjul,159.000,370.940,4,60,10,7,3.880,645,"Toyota Avensis 2,0 D-4D T2 Touch stc.",Manuel,,124,Stationcar,1.600,109.800,05-01-2012,5,"21,7",Diesel,6
2005,,,,15-10-2020,,320.000,,,,,,,,"Audi A4 2,0 Avant",Manuel,,139,Stationcar,,30.000,,,,Diesel,
1974,,,,01-11-2020,,17.000,,,,,,,,"Fiat 130 1,3 4-dørs",Manuel,,65,Sedan,,127.500,,,,Benzin,
2018,,1.175,171,,Forhjul,49.000,211.900,4,45,"13,1",4,3.260,554,"Renault Captur 1,5 dCi 90 Zen",Manuel,,90,SUV,1.200,145.000,27-02-2018,5,27,Diesel,5
1978,,,,14-06-2016,,62.000,,,,,,,,"Datsun Anden 1,2 2-dørs",Manuel,,69,Sedan,,88.000,,,,Benzin,
1929,,,,01-07-2014,,99.999,,,,,,,,"Ford A 3,3 Tudor",Manuel,,40,Sedan,,97.500,,,,Benzin,
2008,Grønmetal,1.000,155,,Forhjul,187.000,139.091,4,,"14,5",6,2.520,575,"Fiat Grande Punto 1,2 Active",Manuel,,65,Hatchback,900,14.900,31-03-2008,3,"16,4",Benzin,5
2009,,835,155,,Forhjul,106.000,112.991,4,35,14,6,660,470,"Fiat Panda 1,2 Dynamic ECO",Manuel,,60,Hatchback,800,23.800,28-08-2009,5,20,Benzin,5
2019,Hvid,1.180,210,,Forhjul,42.000,257.616,4,50,"9,1",7,1.160,600,"VW Golf VII 1,5 TSi 130 Comfortline",Manuel,,130,Hatchback,1.400,205.900,06-06-2018,5,"20,4",Benzin,6
2009,,,,,,170.000,,,,,,,,"Audi A3 2,0",Manuel,CA,140,Hatchback,,65.000,,,,Diesel,
2020,Sortmetal,1.464,180,,Forhjul,39.000,330.918,4,62,"11,8",6,3.260,681,"Kia Sportage 1,6 CRDi mHEV Comfort DCT",Automatisk,,136,SUV,1.600,272.900,30-12-2019,5,25,Diesel,7
2001,Sølvmetal,925,170,,Forhjul,206.000,,4,50,"12,2",4,2.520,525,"Peugeot 206 1,4 XR",Manuel,,75,Hatchback,1.100,9.900,15-01-2001,3,"15,9",Benzin,5
2011,,,,21-10-2019,,129.000,,,,,,,,"Toyota Verso 2,0 Verso      2,0      7 sæder",Manuel,,126,Hatchback,,82.000,,,,Diesel,
2004,Blåmetal,1.175,190,,Forhjul,163.000,299.405,4,55,"10,2",6,3.740,475,"Toyota Corolla 1,6 Sol stc.",Manuel,,110,Stationcar,1.300,39.900,27-02-2004,5,"13,9",Benzin,5
2019,Koksmetal,966,180,,Forhjul,12.000,165.008,4,37,"11,9",7,1.000,399,"Suzuki Swift 1,2 Dualjet Hybrid Exclusive",Manuel,,90,Hatchback,1.000,148.700,18-06-2020,5,"26,8",Benzin,5
2019,Blåmetal,1.180,187,,Forhjul,8.000,,3,40,"10,8",6,1.080,470,"VW Polo 1,0 TSi 95 Comfortline DSG",Automatisk,,95,Hatchback,1.000,199.900,08-04-2019,5,"23,4",Benzin,7
2017,Koksmetal,1.330,183,,Forhjul,41.000,224.991,4,45,"11,3",6,2.220,380,"Peugeot 2008 1,6 BlueHDi 100 Allure",Manuel,,100,SUV,820,144.900,23-10-2017,5,"28,6",Diesel,5
2019,,1.180,187,,Forhjul,35.000,,3,40,"10,8",6,1.080,470,"VW Polo 1,0 TSi 95 Comfortline DSG",Automatisk,,95,Hatchback,1.000,188.900,17-09-2018,5,"23,4",Benzin,7
2010,,1.670,200,,4x4,219.000,279.677,4,60,"9,8",6,6.380,740,"Mitsubishi Outlander 2,2 DI-D 177 Intense Van",Manuel,,177,Varevogn,2.000,79.900,25-11-2010,5,"16,1",Diesel,6
2005,,1.125,185,,Forhjul,166.000,222.017,4,55,12,6,3.140,525,"Toyota Corolla 1,4 Terra",Manuel,,97,Hatchback,,19.900,13-12-2005,3,"14,9",Benzin,5
2018,Hvid,1.554,,,Forhjul,60.000,191.059,4,60,,1,3.020,681,"Ford Transit Connect 1,5 TDCi 100 Trend kort",Manuel,,100,Varevogn,1.200,109.800,23-08-2017,,"22,7",Diesel,5
2016,Rødmetal,1.355,182,,Forhjul,144.000,312.800,4,60,"11,9",6,2.180,561,"Renault Kadjar 1,5 dCi 110 Zen",Manuel,,110,SUV,1.350,129.900,30-11-2015,5,"26,3",Diesel,6
2011,Koksmetal,1.584,207,,4x4,113.000,,4,60,"8,5",8,5.580,646,"VW Tiguan 2,0 TFSi 200 Sport & Style DSG 4M",Automatisk,,200,SUV,2.200,174.900,04-01-2011,5,"11,2",Benzin,6
2005,,1.525,180,,Forhjul,281.000,200.291,4,60,"12,5",2,6.350,625,"Toyota Sportsvan 2,0 D-4D",Manuel,,116,Varevogn,1.500,9.900,02-06-2005,5,11,Diesel,5
2014,,1.710,224,,Baghjul,198.000,,4,70,"8,2",6,4.680,665,"BMW 520d 2,0 Touring Luxury Line aut.",Automatisk,,184,Stationcar,2.000,248.900,06-09-2013,5,"19,6",Diesel,8
2012,Sortmetal,1.455,220,,Forhjul,56.000,507.420,16,55,"7,7",6,3.140,500,"Audi A3 1,8 TFSi Ambition Cabriolet S-tr.",Automatisk,,160,Cabriolet,1.400,229.900,19-04-2012,2,"15,2",Benzin,6
2002,,1.140,180,,Forhjul,164.000,189.995,4,55,12,4,3.740,550,"Mitsubishi Space Star 1,6 XL",Manuel,,98,MPV,1.200,14.800,31-07-2002,5,"13,9",Benzin,5
2018,Hvid,1.515,222,,Forhjul,32.000,318.698,4,40,"7,6",7,860,525,"VW Golf VII 1,4 GTE DSG",Automatisk,,204,Hatchback,1.500,289.800,07-11-2017,5,"35,1",Benzin,6
2012,,1.825,240,,Baghjul,162.000,,6,80,"7,2",7,7.220,675,"Mercedes E300 3,0 CDi Avantgarde stc. aut. BE",Automatisk,,231,Stationcar,2.100,249.900,05-01-2012,5,"15,9",Diesel,7
2017,Hvid,973,155,,Forhjul,30.000,115.716,3,40,"14,9",6,660,337,"Hyundai i10 1,0 Touch",Manuel,,66,Hatchback,,79.900,21-06-2017,5,25,Benzin,5
2018,Sortmetal,1.257,218,,Forhjul,53.000,316.695,4,50,"8,6",7,1.160,653,"VW Golf VII 1,5 TSi 150 Highl. Variant DSG",Automatisk,,150,Stationcar,1.500,249.900,04-06-2018,5,20,Benzin,7
2019,Koksmetal,1.235,208,,Forhjul,29.000,236.016,4,50,"9,3",6,1.160,565,"Kia Ceed 1,4 T-GDi Vision SW",Manuel,,140,Stationcar,1.410,204.895,13-06-2019,5,20,Benzin,6
2009,,1.293,188,,Forhjul,202.000,,4,52,"12,3",,4.880,682,"Opel Astra 1,7 CDTi 110 Cosmo Wagon eco",Manuel,,110,Stationcar,1.100,24.900,27-11-2009,5,"22,2",Diesel,5
2016,Sortmetal,1.750,250,,4x4,46.000,1.028.013,6,58,"4,9",6,3.740,515,"Audi S4 3,0 TFSi Avant quattro Tiptr.",Automatisk,,354,Stationcar,1.900,649.900,25-11-2016,5,"13,3",Benzin,8
2018,Rødmetal,1.273,188,,Forhjul,40.000,335.000,3,53,"11,8",8,1.780,687,"Opel Grandland X 1,2 T 130 Innovation aut.",Automatisk,,130,SUV,1.100,249.900,11-05-2018,5,"19,2",Benzin,8
2007,Sortmetal,2.292,,,Baghjul,283.000,,,,,,11.640,648,"Mercedes Viano 2,2 CDi Marco Polo",Manuel,,150,MPV,2.000,Ring,17-06-2007,,"12,2",Diesel,6
2017,Sortmetal,1.385,222,,Forhjul,132.000,411.308,4,70,"9,2",7,1.880,775,"Ford Mondeo 1,5 SCTi 160 Titanium",Manuel,,160,Hatchback,1.250,174.895,31-10-2016,5,"17,2",Benzin,5
2006,Sølvmetal,1.092,165,,Forhjul,180.000,209.302,4,46,"13,1",6,2.520,454,"Nissan Note 1,4 Visia",Manuel,,88,Hatchback,945,34.900,19-04-2006,5,"15,9",Benzin,5
2009,Gråmetal,1.362,174,,Forhjul,156.000,247.991,4,60,"13,3",7,4.880,453,"Peugeot 308 1,6 HDi 90 Comfort+ stc.",Manuel,,90,Stationcar,1.200,39.900,31-03-2009,5,"21,3",Diesel,5
2011,,1.030,175,,Forhjul,150.000,196.136,4,42,"10,7",7,3.020,495,"Toyota Yaris 1,4 D-4D T2",Manuel,,90,Hatchback,1.050,39.900,17-06-2011,5,"23,8",Diesel,6
2010,,1.326,185,,Forhjul,308.000,287.001,4,55,"11,3",6,3.880,699,"Ford C-MAX 1,6 TDCi Trend Collection",Manuel,,109,MPV,1.300,29.900,27-05-2010,5,"22,2",Diesel,5
2018,Blåmetal,1.453,218,,Forhjul,89.000,,4,66,"8,6",6,1.780,487,"VW Passat 1,4 TSi 150 Comfort Prem. Vari DSG",Automatisk,,150,Stationcar,1.600,259.895,01-11-2017,5,"19,6",Benzin,7
2012,,1.046,168,,Forhjul,85.000,139.996,4,43,"13,1",6,660,514,"Kia Rio 1,2 CVVT Active",Manuel,,86,Hatchback,900,61.900,24-02-2012,5,"20,8",Benzin,5
2010,,1.635,235,,4x4,243.000,,4,66,"7,2",6,7.380,640,"Mercedes C250 2,2 CDi stc. aut. 4-M BE Van",Automatisk,,204,Stationcar,1.800,1.218,08-06-2010,5,"16,8",Diesel,7
2017,Sortmetal,1.237,182,,Forhjul,70.000,184.637,4,45,"11,9",6,1.220,428,"Opel Corsa 1,3 CDTi 95 Sport",Manuel,,95,Hatchback,500,94.900,21-10-2016,5,"31,3",Diesel,5
2004,,1.480,245,,Baghjul,328.000,,6,70,"7,1",,6.820,585,"BMW 530i 3,0 aut.",Automatisk,,231,Sedan,2.000,1.016,09-06-2004,4,"10,1",Benzin,6
2010,Hvid,832,154,,Forhjul,133.000,,4,35,"15,5",6,1.280,535,"Chevrolet Spark 1,0 LS",Manuel,,68,Hatchback,,24.900,04-11-2010,5,"19,6",Benzin,5
2006,Sølvmetal,1.275,175,,Forhjul,385.000,156.255,4,60,"14,5",4,6.350,750,"Citroën Xsara Picasso 2,0 HDi Comfortvan SX",Manuel,,90,Varevogn,1.300,7.900,16-06-2006,5,"12,2",Diesel,5
2015,,1.180,195,,Forhjul,126.000,,3,55,11,6,660,720,"Ford Focus 1,0 SCTi 125 Edition",Manuel,,125,Hatchback,1.200,99.999,20-01-2015,5,"21,3",Benzin,6
2015,Hvid,1.565,163,,Forhjul,118.000,150.229,4,60,"12,4",4,3.020,620,"Peugeot Partner 1,6 BlueHDi 100 L1 Flex Van",Manuel,,100,Varevogn,950,49.900,27-10-2015,5,"23,8",Diesel,5
2007,Sort,1.219,205,,Forhjul,142.000,270.001,4,50,"8,9",8,3.140,531,"Honda Civic 1,8 Sport",Manuel,,140,Hatchback,1.400,52.500,19-06-2007,5,"15,2",Benzin,6
2012,Hvidmetal,820,153,,Forhjul,105.000,107.897,3,35,"14,4",7,660,520,"Kia Picanto 1,0 Active Eco",Manuel,,69,Hatchback,700,34.900,06-02-2012,5,"24,4",Benzin,5
2014,Gråmetal,1.832,193,,Forhjul,93.000,378.401,4,58,"11,2",8,3.020,583,"Opel Zafira Tourer 1,6 CDTi 136 Enjoy",Manuel,,136,MPV,1.300,149.900,04-09-2014,5,"24,4",Diesel,6
2018,,1.180,187,,Forhjul,29.000,199.995,3,40,"10,8",6,1.160,470,"VW Polo 1,0 TSi 95 Comfortline DSG",Automatisk,,95,Hatchback,1.000,184.900,21-12-2017,5,"21,7",Benzin,7
2011,,1.720,250,,4x4,198.000,780.321,6,64,"6,1",6,7.220,390,"Audi A5 3,0 TDi 240 SB quattro S-tr.",Automatisk,,240,Hatchback,1.900,1.359,29-09-2011,5,"15,2",Diesel,7
2017,Sortmetal,1.265,187,,Forhjul,73.000,139.992,4,50,"10,7",6,1.180,415,"Peugeot 208 1,6 BlueHDi 100 Envy",Manuel,,100,Hatchback,700,99.000,23-11-2017,5,"33,3",Diesel,5
2016,Sort,2.005,250,,4x4,67.000,2.180.768,8,75,"3,7",6,6.200,510,"Audi RS7 4,0 TFSi performance SB quat Tiptr",Automatisk,,605,Hatchback,,6.383,01-06-2016,5,"10,5",Benzin,8
2017,Hvid,,,,Forhjul,135.000,316.203,4,80,,2,6.380,3.000,"VW Transporter 2,0 TDi 150 Kassevogn DSG kort",Automatisk,,150,Varevogn,2.500,149.900,28-11-2016,,"16,1",Diesel,7
2017,Hvid,,,,Forhjul,135.000,316.203,4,80,,2,6.380,3.000,"VW Transporter 2,0 TDi 150 Kassevogn DSG kort",Automatisk,,150,Varevogn,2.500,2.499,28-11-2016,,"16,1",Diesel,7
2015,Sortmetal,1.845,222,,4x4,148.000,,4,50,"7,6",7,4.680,655,"Mercedes GLC250 d 2,2 AMG Line aut. 4-M",Automatisk,,204,SUV,2.500,5.496,18-09-2015,5,20,Diesel,9
2015,Sortmetal,1.845,222,,4x4,148.000,,4,50,"7,6",7,4.680,655,"Mercedes GLC250 d 2,2 AMG Line aut. 4-M",Automatisk,,204,SUV,2.500,469.900,18-09-2015,5,20,Diesel,9
2006,,1.520,218,,Baghjul,259.000,557.200,4,61,"8,8",6,9.100,540,"BMW 320d 2,0 Touring Steptr.",Automatisk,,163,Stationcar,1.600,49.900,01-01-2006,5,"14,5",Diesel,6
2012,Koksmetal,1.055,185,,Forhjul,169.000,194.991,4,50,"11,8",6,2.180,570,"Peugeot 208 1,6 e-HDi 92 Active",Manuel,,92,Hatchback,1.150,59.800,03-10-2012,5,"26,3",Diesel,5
2012,Lysblåmetal,805,157,,Forhjul,203.000,99.989,3,35,"13,7",6,660,385,Citroën C1 Seduction Clim,Manuel,,68,Hatchback,,24.900,25-10-2012,5,"23,3",Benzin,5
2019,,1.180,187,,Forhjul,34.000,,3,40,"10,8",6,1.080,470,"VW Polo 1,0 TSi 95 Comfortline DSG",Automatisk,,95,Hatchback,1.000,189.900,01-10-2018,5,"23,4",Benzin,7
2021,Sortmetal,1.635,227,,Forhjul,6.000,338.411,4,40,"7,6",6,820,430,Audi A3 TFSi e Prestige SB S-tr.,Automatisk,,204,Hatchback,1.400,359.900,04-12-2020,5,"38,8",Benzin,6
2017,Blåmetal,1.628,210,,Forhjul,100.000,664.985,4,70,"8,1",6,4.380,877,"Volvo XC60 2,0 D4 190 Summum aut.",Automatisk,,190,SUV,1.800,419.880,06-11-2017,5,"21,3",Diesel,8
2017,Hvid,1.301,198,,Forhjul,52.000,253.173,4,50,"10,2",7,3.520,499,"VW Golf VII 1,6 TDi 115 Comfortline",Manuel,,115,Hatchback,1.500,179.900,14-12-2017,5,"24,4",Diesel,5
2014,Sølvmetal,1.213,185,,Forhjul,194.000,257.682,3,55,"12,7",6,660,687,"Ford Focus 1,0 SCTi 100 Titanium stc. ECO",Manuel,,100,Stationcar,1.000,69.900,28-07-2014,5,"20,8",Benzin,5
2018,Sortmetal,1.275,203,,Forhjul,73.000,219.019,4,46,"10,8",6,1.160,500,"Honda Civic 1,0 VTEC Turbo Comfort",Manuel,,129,Hatchback,1.200,174.900,28-03-2018,5,"20,8",Benzin,6
2011,,1.063,180,,Forhjul,224.000,190.800,4,45,"11,9",6,1.880,552,"Opel Corsa 1,4 16V Cosmo",Manuel,,100,Hatchback,1.000,29.900,30-06-2011,5,"17,5",Benzin,5
2009,,825,157,,Forhjul,144.000,96.000,3,35,"14,2",6,660,375,"Toyota Aygo 1,0",Manuel,,68,Hatchback,,27.800,03-06-2009,5,"22,2",Benzin,5
2011,,1.217,180,,Forhjul,137.000,229.997,4,53,"13,4",6,1.880,603,"Kia Ceed 1,4 CVVT 90 VM Edition SW",Manuel,,90,Stationcar,1.200,64.900,21-10-2010,5,"17,5",Benzin,5
2020,Rødmetal,980,174,,Forhjul,9.000,160.910,3,40,"13,2",6,1.000,650,"Opel Corsa 1,2 Elegance",Manuel,,75,Hatchback,500,154.900,03-03-2020,5,"26,8",Benzin,5
2017,,1.620,171,,Forhjul,47.000,219.990,4,60,"14,3",6,3.020,455,"Peugeot Partner Tepee 1,6 BlueHDi 100 Active ESG",Automatisk,,100,MPV,1.300,169.900,23-06-2017,5,"23,8",Diesel,6
2006,Sølvmetal,1.500,168,,Forhjul,237.000,178.603,4,58,"13,1",6,6.350,625,"Hyundai Tucson 2,0 CRDi GLS",Manuel,,113,Varevogn,1.400,19.900,03-05-2006,5,"10,9",Diesel,5
2016,Gråmetal,1.265,187,,Forhjul,47.000,169.993,4,50,"10,7",6,260,415,"Peugeot 208 1,6 BlueHDi 100 Chili Sky+",Manuel,,100,Hatchback,700,109.900,24-08-2016,5,"33,3",Diesel,5
2018,Koksmetal,1.393,185,,Forhjul,40.000,,3,60,"12,3",6,2.380,757,"Ford Grand C-Max 1,0 SCTi 125 Cool & Connect",Manuel,,125,MPV,900,179.900,29-05-2018,5,"16,9",Benzin,6
2017,Sortmetal,1.295,224,,Forhjul,51.000,342.067,4,50,"8,3",6,3.880,575,"Audi A3 2,0 TDi 150 Sport S-tr.",Automatisk,,150,Sedan,1.600,244.900,23-11-2016,4,"22,2",Diesel,7
2017,,1.503,195,,Forhjul,99.000,,4,56,"11,4",6,2.220,367,"Opel Astra 1,6 CDTi 110 Dynamic ST",Manuel,,110,Stationcar,1.300,159.800,08-06-2017,5,"28,6",Diesel,6
2016,,1.356,197,,Forhjul,105.000,268.597,4,53,"10,9",6,3.020,564,"Kia Ceed 1,6 CRDi 136 GT-Line Limit. SW DCT",Automatisk,,136,Stationcar,1.500,154.900,23-11-2015,5,"23,8",Diesel,7
2017,Koksmetal,939,170,,Forhjul,106.000,116.374,3,32,"13,9",6,660,414,"Opel Karl 1,0 Enjoy aut.",Automatisk,,75,Hatchback,,94.900,14-09-2016,5,"23,3",Benzin,5
2013,,1.635,182,,Forhjul,165.000,311.990,4,60,"13,5",6,4.680,615,"Citroën Grand C4 Picasso 1,6 e-HDi 112 Seduction E6G",Automatisk,,112,MPV,1.050,79.900,05-02-2013,5,"20,4",Diesel,6
2010,,1.045,155,,Forhjul,146.000,145.453,3,45,"18,2",6,660,540,"Opel Corsa 1,0 12V Enjoy",Manuel,,65,Hatchback,500,29.800,04-03-2010,5,20,Benzin,5
2010,,1.610,203,,Forhjul,198.000,432.149,4,70,"11,6",8,4.680,680,"Opel Insignia 2,0 CDTi 130 Cosmo ST eco",Manuel,,130,Stationcar,1.600,79.900,15-06-2010,5,"18,9",Diesel,6
2015,Mørkgrå,1.705,210,,Forhjul,114.000,448.443,4,72,"9,1",6,2.180,495,"Peugeot 508 2,0 BlueHDi 150 Allure SW",Manuel,,150,Stationcar,1.775,164.900,02-11-2015,5,"26,3",Diesel,6
2014,,1.553,190,,Forhjul,108.000,349.998,4,58,10,6,3.740,402,"Honda CR-V 2,0 i-VTEC Elegance",Manuel,,155,SUV,1.700,149.800,17-12-2013,5,"13,9",Benzin,6
2012,Rød,1.850,160,,Forhjul,114.000,233.203,4,90,,1,8.940,1.110,"Renault Trafic T29 2,0 dCi 115 L2H1",Manuel,,115,Varevogn,2.000,59.800,23-04-2012,4,"13,3",Diesel,6
2017,,1.680,235,,Baghjul,371.000,,4,66,"7,7",7,3.020,770,"Mercedes E220 d 2,0 stc. aut.",Automatisk,,194,Stationcar,2.100,120.000,09-11-2016,5,"23,3",Diesel,9
2014,Koksmetal,1.060,172,,Forhjul,67.000,,4,45,"13,6",6,1.280,545,"Opel Corsa 1,2 16V Cool",Manuel,,85,Hatchback,850,74.000,25-09-2014,5,"19,6",Benzin,5
2014,Koksmetal,1.060,172,,Forhjul,67.000,,4,45,"13,6",6,1.280,545,"Opel Corsa 1,2 16V Cool",Manuel,,85,Hatchback,850,74.000,25-09-2014,5,"19,6",Benzin,5
2007,Champagnemetal,1.735,250,,Baghjul,286.000,1.527.000,8,80,"5,4",6,9.300,565,"Mercedes CLS500 5,5 aut.",Automatisk,,388,Sedan,,169.800,26-11-2007,4,"8,5",Benzin,7
2014,Sortmetal,1.634,210,,Forhjul,142.000,,4,70,"8,5",6,3.880,696,"Volvo XC60 2,0 D4 181 R-Design aut.",Automatisk,,181,SUV,1.600,324.800,29-12-2014,5,"21,3",Diesel,8
2020,Blåmetal,980,174,,Forhjul,3.000,160.910,3,40,"13,2",6,1.000,650,"Opel Corsa 1,2 Sport",Manuel,,75,Hatchback,500,175.000,26-08-2020,5,"26,8",Benzin,5
2019,Sortmetal,1.173,171,,Forhjul,4.500,220.900,3,45,"13,1",4,1.160,485,"Renault Captur 0,9 TCe 90 Intens",Manuel,,90,SUV,1.200,169.900,22-11-2019,5,"20,4",Benzin,5
2020,Rødmetal,1.277,197,,Forhjul,5.500,179.821,4,39,"9,9",6,2.220,425,"Renault Clio V 1,5 dCi 115 Intens",Manuel,,115,Hatchback,900,184.900,31-08-2020,5,"30,6",Diesel,6
2019,Hvid,1.547,189,,Forhjul,26.000,326.901,4,55,"11,5",6,3.260,369,"Renault Kadjar 1,5 dCi 115 Zen EDC",Automatisk,,115,SUV,1.350,249.900,30-08-2019,5,"26,2",Diesel,7
2015,Blåmetal,1.735,238,,4x4,255.000,649.995,4,66,"6,3",6,5.540,285,"VW Passat 2,0 TDi 240 Highl. Vari. DSG 4M",Automatisk,,240,Stationcar,2.200,179.900,09-03-2015,5,"18,5",Diesel,7
2007,,,,21-06-2020,,230.000,,,,,,,,"Kia Rio 1,4",Manuel,,96,Sedan,,12.000,,,,Benzin,
2014,,,,16-05-2020,,70.000,,,,,,,,"Mazda 3 2,0",Automatisk,CM,120,Hatchback,,163.000,,,,Benzin,
